Source,Target,Type,Id,Label,timeset,Weight
n0,n4,Directed,376,,,239
n0,n19,Directed,377,,,190
n0,n1,Directed,378,,,179
n0,n31,Directed,379,,,168
n0,n32,Directed,380,,,147
n0,n8,Directed,381,,,123
n0,n14,Directed,382,,,122
n0,n33,Directed,383,,,115
n1,n0,Directed,384,,,103
n0,n34,Directed,385,,,85
n0,n3,Directed,386,,,82
n1,n4,Directed,387,,,82
n0,n35,Directed,388,,,78
n0,n11,Directed,389,,,77
n2,n36,Directed,390,,,76
n2,n37,Directed,391,,,72
n3,n4,Directed,392,,,67
n1,n19,Directed,393,,,66
n4,n0,Directed,394,,,65
n3,n0,Directed,395,,,64
n0,n24,Directed,396,,,64
n3,n8,Directed,397,,,63
n3,n38,Directed,398,,,60
n0,n16,Directed,399,,,60
n5,n8,Directed,400,,,58
n5,n3,Directed,401,,,58
n5,n23,Directed,402,,,58
n5,n0,Directed,403,,,58
n5,n38,Directed,404,,,58
n5,n4,Directed,405,,,58
n5,n39,Directed,406,,,57
n3,n39,Directed,407,,,56
n0,n40,Directed,408,,,56
n0,n41,Directed,409,,,55
n0,n42,Directed,410,,,53
n0,n43,Directed,411,,,52
n0,n44,Directed,412,,,51
n1,n31,Directed,413,,,51
n1,n8,Directed,414,,,48
n1,n14,Directed,415,,,48
n0,n45,Directed,416,,,47
n3,n23,Directed,417,,,46
n3,n1,Directed,418,,,46
n1,n32,Directed,419,,,46
n3,n5,Directed,420,,,45
n0,n46,Directed,421,,,44
n4,n19,Directed,422,,,44
n0,n15,Directed,423,,,43
n4,n8,Directed,424,,,42
n0,n47,Directed,425,,,41
n5,n1,Directed,426,,,41
n3,n14,Directed,427,,,39
n0,n39,Directed,428,,,39
n0,n38,Directed,429,,,39
n6,n48,Directed,430,,,39
n4,n14,Directed,431,,,38
n6,n49,Directed,432,,,38
n7,n36,Directed,433,,,35
n0,n23,Directed,434,,,35
n4,n3,Directed,435,,,35
n1,n3,Directed,436,,,35
n1,n33,Directed,437,,,35
n8,n0,Directed,438,,,34
n9,n48,Directed,439,,,33
n6,n20,Directed,440,,,33
n10,n48,Directed,441,,,32
n4,n38,Directed,442,,,32
n4,n1,Directed,443,,,32
n11,n31,Directed,444,,,32
n11,n33,Directed,445,,,32
n11,n0,Directed,446,,,32
n11,n19,Directed,447,,,32
n11,n4,Directed,448,,,32
n11,n1,Directed,449,,,32
n11,n32,Directed,450,,,32
n12,n8,Directed,451,,,31
n12,n3,Directed,452,,,31
n12,n0,Directed,453,,,31
n12,n4,Directed,454,,,31
n0,n50,Directed,455,,,31
n1,n11,Directed,456,,,31
n13,n48,Directed,457,,,30
n4,n31,Directed,458,,,30
n4,n39,Directed,459,,,30
n11,n8,Directed,460,,,30
n12,n23,Directed,461,,,29
n12,n5,Directed,462,,,29
n14,n4,Directed,463,,,29
n8,n31,Directed,464,,,28
n4,n43,Directed,465,,,28
n4,n34,Directed,466,,,28
n8,n4,Directed,467,,,27
n12,n39,Directed,468,,,27
n12,n38,Directed,469,,,27
n0,n21,Directed,470,,,27
n13,n51,Directed,471,,,26
n13,n52,Directed,472,,,26
n13,n22,Directed,473,,,26
n9,n53,Directed,474,,,26
n15,n3,Directed,475,,,26
n16,n54,Directed,476,,,25
n8,n1,Directed,477,,,25
n12,n1,Directed,478,,,25
n15,n4,Directed,479,,,25
n15,n34,Directed,480,,,25
n14,n0,Directed,481,,,24
n0,n55,Directed,482,,,24
n0,n56,Directed,483,,,24
n4,n32,Directed,484,,,24
n1,n43,Directed,485,,,24
n15,n45,Directed,486,,,24
n15,n14,Directed,487,,,24
n3,n12,Directed,488,,,23
n3,n43,Directed,489,,,23
n17,n57,Directed,490,,,23
n17,n58,Directed,491,,,23
n17,n59,Directed,492,,,23
n17,n60,Directed,493,,,23
n17,n61,Directed,494,,,23
n17,n36,Directed,495,,,23
n17,n62,Directed,496,,,23
n5,n14,Directed,497,,,23
n4,n33,Directed,498,,,23
n3,n19,Directed,499,,,22
n13,n63,Directed,500,,,22
n13,n64,Directed,501,,,22
n18,n48,Directed,502,,,22
n19,n4,Directed,503,,,22
n8,n32,Directed,504,,,21
n0,n65,Directed,505,,,21
n5,n12,Directed,506,,,21
n1,n39,Directed,507,,,21
n1,n38,Directed,508,,,21
n1,n34,Directed,509,,,21
n1,n44,Directed,510,,,21
n8,n14,Directed,511,,,20
n8,n15,Directed,512,,,20
n20,n49,Directed,513,,,20
n20,n48,Directed,514,,,20
n0,n66,Directed,515,,,20
n0,n5,Directed,516,,,20
n15,n43,Directed,517,,,20
n15,n19,Directed,518,,,20
n17,n67,Directed,519,,,19
n17,n68,Directed,520,,,19
n21,n0,Directed,521,,,19
n16,n69,Directed,522,,,18
n16,n56,Directed,523,,,18
n8,n33,Directed,524,,,18
n0,n70,Directed,525,,,18
n21,n31,Directed,526,,,18
n22,n48,Directed,527,,,18
n16,n71,Directed,528,,,17
n16,n72,Directed,529,,,17
n16,n73,Directed,530,,,17
n16,n74,Directed,531,,,17
n16,n15,Directed,532,,,17
n8,n19,Directed,533,,,17
n8,n70,Directed,534,,,17
n23,n0,Directed,535,,,17
n14,n19,Directed,536,,,17
n14,n1,Directed,537,,,17
n24,n16,Directed,538,,,17
n24,n0,Directed,539,,,17
n0,n75,Directed,540,,,17
n1,n35,Directed,541,,,17
n25,n0,Directed,542,,,17
n15,n55,Directed,543,,,17
n8,n35,Directed,544,,,16
n3,n34,Directed,545,,,16
n14,n31,Directed,546,,,16
n26,n48,Directed,547,,,16
n27,n48,Directed,548,,,16
n1,n46,Directed,549,,,16
n28,n76,Directed,550,,,16
n28,n49,Directed,551,,,16
n28,n36,Directed,552,,,16
n16,n77,Directed,553,,,15
n8,n34,Directed,554,,,15
n23,n8,Directed,555,,,15
n0,n54,Directed,556,,,15
n29,n48,Directed,557,,,15
n5,n78,Directed,558,,,15
n21,n8,Directed,559,,,15
n30,n48,Directed,560,,,15
n4,n23,Directed,561,,,15
n1,n16,Directed,562,,,15
n6,n79,Directed,563,,,15
